SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
431224,A2NMAOYBBJTO0R,3V26SBZTBVNHW1RFSNA1UV3LR3RZZ0,822,10/5/2023 12:52:09 PM,10/5/2023 1:05:51 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,ACSS93E03ZUGX,3U84XHCDIUM1T43Q7UKB0ZQCQ8NZ4N,1055,10/5/2023 12:51:07 PM,10/5/2023 1:08:42 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A1RKGN3VY39TM1,3HVVDCPGTW1L5Z8BQ9J0U0T20D0YTR,1036,10/5/2023 12:51:27 PM,10/5/2023 1:08:43 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A3Q6YRWUMALT6D,39L1G8WVW80JGCZEZ560Y0EUZTF13G,1164,10/5/2023 12:50:29 PM,10/5/2023 1:09:53 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A2YC6PEMIRSOAA,30LB5CDZNUJKUGLPOTX9OW0Z9W80Z9,1230,10/5/2023 12:50:27 PM,10/5/2023 1:10:57 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A36GU3OHGLDS8R,3PDJHANYKNPTH67AKW7JXQ6LQ9DH61,1202,10/5/2023 12:51:03 PM,10/5/2023 1:11:05 PM,Pending,0.00,0.00,1.200000,42536966,,Male,100.00 %,
431224,ACJ6NSCIWMUZI,3X4MXAO0BYX40F0J7JWH9O741K4RW9,1206,10/5/2023 12:51:38 PM,10/5/2023 1:11:44 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A27VK38SRSSHV3,3NXNZ5RS1S6J603W5UOJQN8T27P972,1280,10/5/2023 12:50:28 PM,10/5/2023 1:11:48 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,AZCGSVDT79E6X,3PPTZCWAL8T8I9QO5RRO32RHM06ZQ6,1294,10/5/2023 12:51:18 PM,10/5/2023 1:12:52 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A2Z6NL0CTXY0ZB,3I0BTBYZAFUKPQBKS7VQAPRX3240YI,1352,10/5/2023 12:50:28 PM,10/5/2023 1:13:00 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,AFRKVRPZ2RHY8,3DH6GAKTYGYHRBHAW18IGOUJL9NZY9,1338,10/5/2023 12:51:27 PM,10/5/2023 1:13:45 PM,Pending,0.00,0.00,1.200000,42536966,,Male,100.00 %,
431224,ATKNH6OR2G11O,37Q970SNZWHN0TKTPK7168M6R9ES1Z,1388,10/5/2023 12:51:26 PM,10/5/2023 1:14:34 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A29N5E8YC6DB9Q,3EFVCAY5LLICCQLO1B72THIR9W7J8U,1432,10/5/2023 12:51:16 PM,10/5/2023 1:15:08 PM,Pending,0.00,0.00,1.200000,42536966,,Female,100.00 %,
431224,A2HOUSKURBF8UA,32Z9ZLUT13TJ6CDEKSTDEQSCB97HOQ,1423,10/5/2023 12:51:45 PM,10/5/2023 1:15:28 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A3L0DCUXI7X3A9,3TVSS0C0EJ9HGUDBB81C938MP50TWN,1491,10/5/2023 12:50:43 PM,10/5/2023 1:15:34 PM,Pending,0.00,0.00,1.200000,42536966,,Male,100.00 %,
431224,AB8XECKH1JO8P,3Z4AIRP3COMVWA6SJUDO5G3Y6OG1XG,1546,10/5/2023 12:50:30 PM,10/5/2023 1:16:16 PM,Pending,0.00,0.00,1.200000,42536966,,Female,100.00 %,
431224,AZNIEFUIVB2H0,34PGFRQON6KN2RH6ZEN87XLDR39WJL,1602,10/5/2023 12:50:55 PM,10/5/2023 1:17:37 PM,Pending,0.00,0.00,1.200000,42536966,,,,
431224,A1UEMMSI1XUBSW,3OSWBBLG1W6PO5M4ZNXJ6I47VLJDXI,1636,10/5/2023 12:50:33 PM,10/5/2023 1:17:49 PM,Pending,0.00,0.00,1.200000,42536966,,Male,100.00 %,
