"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"3331.7000000029802","<p style=""font-size:26px;""> Hello and thank you for taking part in our experiment! </p><p style=""font-size:24px;""> The experiment consist of a Human Detection Task followed by some questionnaires, and it takes around 30 minutes to complete. </p><p style=""font-size:22px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","0","3336","0.0-0.0","","","","","","","","",""
"6148.79999999702","<p style=""font-size:26px;""> Please ensure the following: </p><p style=""font-size:22px;""> (1) You are in a room with no distractions (no people, music, phones, etc.), </p><p style=""font-size:22px;""> (2) For the next 30 minutes, you will be able to stay focused on the task and questionnaires, </p><p style=""font-size:22px;""> As the study progresses, you may find that you start to feel tired. Please do your best to stay focused throughout, since our research depends on it! </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","1","9486","0.0-1.0","","","","","","","","",""
"13307.29999999702","<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In this task, you will see a series of videos containing one or two people. </p><p style=""font-size:22px;""> In half of the videos there will be two people -one on each side of the screen-, but one person will be masked with moving dots. </p><p style=""font-size:22px;""> For the other half of the videos there will be only one person on one side, and on the other side there will be only moving  dots. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with two people. One person will be masked with few moving dots. You do not need to do anything now, just see. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","2","22794","0.0-2.0","","","","","","","","",""
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","3","23805","0.0-3.0-0.0","stim/practice/noi001_act01_scr0_con1_tri005.mp4","001","01","0","1","005","","",""
"null","","null","video-keyboard-response","4","28940","0.0-3.0-1.0","stim/practice/noi001_act01_scr0_con1_tri005.mp4","001","01","0","1","005","","",""
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","5","29953","0.0-3.0-0.1","stim/practice/noi001_act08_scr0_con0_tri042.mp4","001","08","0","0","042","","",""
"null","","null","video-keyboard-response","6","35654","0.0-3.0-1.1","stim/practice/noi001_act08_scr0_con0_tri042.mp4","001","08","0","0","042","","",""
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","7","36670","0.0-3.0-0.2","stim/practice/noi001_act10_scr0_con1_tri019.mp4","001","10","0","1","019","","",""
"null","","null","video-keyboard-response","8","42853","0.0-3.0-1.2","stim/practice/noi001_act10_scr0_con1_tri019.mp4","001","10","0","1","019","","",""
"13454.70000000298","<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> In these videos you should have seen two people, one on each side of the screen. </p><p style=""font-size:22px;""> As you may have noticed, one of the human shapes had extra moving dots and less dots conforming the human shape. But you are still able to idenfity a human form. </p><p style=""font-size:22px;""> In the next screen, you will see three example videos with only one person on one side, and on the other side you will only see moving dots. </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","9","56308","0.0-4.0","","","","","","","","",""
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","10","57310","0.0-5.0-0.0","stim/practice/noi001_act01_scr1_con0_tri006.mp4","001","01","1","0","006","","",""
"null","","null","video-keyboard-response","11","62447","0.0-5.0-1.0","stim/practice/noi001_act01_scr1_con0_tri006.mp4","001","01","1","0","006","","",""
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","12","63460","0.0-5.0-0.1","stim/practice/noi001_act03_scr1_con0_tri073.mp4","001","03","1","0","073","","",""
"null","","null","video-keyboard-response","13","69162","0.0-5.0-1.1","stim/practice/noi001_act03_scr1_con0_tri073.mp4","001","03","1","0","073","","",""
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","14","70166","0.0-5.0-0.2","stim/practice/noi001_act05_scr1_con1_tri002.mp4","001","05","1","1","002","","",""
"null","","null","video-keyboard-response","15","76344","0.0-5.0-1.2","stim/practice/noi001_act05_scr1_con1_tri002.mp4","001","05","1","1","002","","",""
"17296","<p style=""font-size:26px;""> Human Detection Task </p><p style=""font-size:22px;""> Your job will be to detect if there is a person within the moving dots part of the screen. </p><p style=""font-size:22px;""> For each video, please report as accurately as possible whether you saw two people or only one. </p><p style=""font-size:22px;""> Press ""J"" for saying ""Yes, I saw a second person"". </p><p style=""font-size:22px;""> Press ""F"" to say ""No, I did not see a second person"". </p><p style=""font-size:24px;""> <i> Press the spacebar to continue. </i> </p>","32","html-keyboard-response","16","93640","0.0-6.0","","","","","","","","",""
